EXPOCODE,SECT,CRUISE,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,CTDPRS,CTDPRS_FLAG_W,CTDDPT,CTDDPT_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDTMP_1,CTDTMP_1_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDSAL_1,CTDSAL_1_FLAG_W,CTDCND,CTDCND_FLAG_W,CTDCND_1,CTDCND_1_FLAG_W,CTDOXY_2,CTDOXY_2_FLAG_W,CTDOXY_3,CTDOXY_3_FLAG_W,CTDOXV_2,CTDOXV_2_FLAG_W,CTDOXV_3,CTDOXV_3_FLAG_W,THETA,THETA_FLAG_W,THETA_1,THETA_1_FLAG_W,SIG0,SIG0_FLAG_W,SIG0_1,SIG0_1_FLAG_W,XMISS,XMISS_FLAG_W,XMISSCP,XMISSCP_FLAG_W,XMISSV,XMISSV_FLAG_W,FLUOR,FLUOR_FLAG_W,TURB,TURB_FLAG_W,CDOM,CDOM_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,OXYGEN_1,OXYGEN_1_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,SILCAT,SILCAT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,TCARBN,TCARBN_FLAG_W,TCARBN_1,TCARBN_1_FLAG_W,ALKALI,ALKALI_FLAG_W,ALKALI_1,ALKALI_1_FLAG_W,DNSSAL,DNSSAL_FLAG_W,DNSSAL_1,DNSSAL_1_FLAG_W
-,-,-,UTC,UTC,DEG,DEG,M,-,-,-,-,-,DBAR,-,M,-,ITS-90,-,ITS-90,-,PSS-78,-,PSS-78,-,S/m,-,S/m,-,UMOL/KG,-,UMOL/KG,-,V,-,V,-,DEG C,-,DEG C,-,KG/CUM,-,KG/CUM,-,%TRANCE,-,1/M,-,V,-,UG/L,-,FTU,-,UG/L,-,PSS-78,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,UMOL/KG,-,G/KG,-,,
A14,A6,A14,A10,A5,F8.4,F9.4,I5,A6,I3,A7,A7,I1,F9.1,I1,F9.1,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F11.6,I1,F11.6,I1,F9.2,I1,F9.2,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.4,I1,F9.3,I1,F9.4,I1,F9.4,I1,F9.3,I1,F9.3,I1,F9.3,I1,F9.4,I1,F9.2,I1,F9.2,I1,F9.2,I1,F9.2,I1,F9.2,I1,F9.3,I1,F9.2,I1,F9.1,I1,F9.1,I1,F9.1,I1,F9.1,I1,F9.4,I1,,
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     19, X12119,2,    504.1,2,    500.2,2,  11.1342,2,  11.1322,2,  34.3388,2,  34.3402,2,   3.872610,2,   3.872560,2,   151.17,2,   151.37,2,   1.5664,2,   1.5487,2,  11.0711,2,  11.0692,2,  26.2478,2,  26.2492,2,   99.974,2,   0.0011,2,   4.7289,2,    0.042,2,    0.025,2,    6.718,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     18, X12118,2,    605.7,2,    600.9,2,   8.8068,2,   8.8089,2,  34.2997,2,  34.3004,2,   3.656748,2,   3.657007,2,   123.13,2,   123.26,2,   1.3128,2,   1.2955,2,   8.7409,2,   8.7430,2,  26.6107,2,  26.6109,2,   99.627,2,   0.0150,2,   4.7125,2,    0.045,2,    0.057,2,    7.410,2,  34.2985,2,   123.39,2,  -999.00,9,26.18,1,0.01,1,51.25,1,1.877,1,0,1,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     17, X12117,2,    706.6,2,    700.8,2,   6.7340,2,   6.7341,2,  34.3273,2,  34.3283,2,   3.474559,2,   3.474657,2,    97.05,2,    97.29,2,   1.1018,2,   1.0849,2,   6.6676,2,   6.6677,2,  26.9340,2,  26.9348,2,   99.613,2,   0.0155,2,   4.7119,2,    0.048,2,    0.063,2,    8.197,2,  34.3273,2,    97.26,2,  -999.00,9,32.03,1,0,1,76.89,1,2.295,1,0.03,1,   2258.8,1,   -999.0,9,   2318.4,1,   -999.0,9,  34.5049,2,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     16, X12116,2,    907.9,2,    900.0,2,   4.8332,2,   4.8341,2,  34.3783,2,  34.3797,2,   3.317243,2,   3.317452,2,    76.59,2,    76.61,2,   0.9411,2,   0.9221,2,   4.7595,2,   4.7604,2,  27.2097,2,  27.2107,2,   99.875,2,   0.0050,2,   4.7243,2,    0.050,2,    0.031,2,    8.961,2,  34.3786,2,    76.58,2,  -999.00,9,37.02,1,0.01,1,101.7,1,2.654,1,0.03,1,   2304.9,1,   -999.0,9,   2343.9,1,   -999.0,9,  34.5596,2,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     15, X12115,2,   1009.9,2,   1000.9,2,   4.4249,2,   4.4244,2,  34.4093,2,  34.4110,2,   3.288025,2,   3.288124,2,    74.71,2,    74.79,2,   0.9201,2,   0.9013,2,   4.3453,2,   4.3447,2,  27.2798,2,  27.2812,2,   99.887,2,   0.0045,2,   4.7249,2,    0.051,2,    0.034,2,    9.080,2,  34.4085,2,    74.59,2,    74.43,2,37.68,1,0.01,1,109.66,1,2.697,1,0.01,1,   2318.5,1,   -999.0,9,   2352.5,1,   -999.0,9,  34.5919,2,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     14, X12114,2,   1010.2,2,   1001.2,2,   4.4246,2,   4.4244,2,  34.4093,2,  34.4108,2,   3.288011,2,   3.288131,2,    74.66,2,    74.80,2,   0.9198,2,   0.9013,2,   4.3450,2,   4.3448,2,  27.2799,2,  27.2811,2,   99.896,2,   0.0042,2,   4.7253,2,    0.050,2,    0.033,2,    9.229,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     13, X12113,2,   1010.2,2,   1001.2,2,   4.4241,2,   4.4239,2,  34.4094,2,  34.4109,2,   3.287975,2,   3.288087,2,    74.62,2,    74.81,2,   0.9196,2,   0.9014,2,   4.3445,2,   4.3442,2,  27.2800,2,  27.2813,2,   99.888,2,   0.0045,2,   4.7250,2,    0.050,2,    0.036,2,    9.231,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     12, X12112,2,   1009.9,2,   1000.9,2,   4.4232,2,   4.4234,2,  34.4094,2,  34.4110,2,   3.287891,2,   3.288036,2,    74.64,2,    74.79,2,   0.9197,2,   0.9013,2,   4.3436,2,   4.3437,2,  27.2801,2,  27.2813,2,   99.890,2,   0.0044,2,   4.7250,2,    0.050,2,    0.034,2,    9.335,2,-999.0000,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9,  -999.00,9,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     11, X12111,2,   1211.9,2,   1200.5,2,   3.9692,2,   3.9696,2,  34.4351,2,  34.4368,2,   3.258468,2,   3.258646,2,    71.36,2,    71.48,2,   0.8861,2,   0.8671,2,   3.8760,2,   3.8764,2,  27.3495,2,  27.3508,2,   99.919,2,   0.0032,2,   4.7264,2,    0.051,2,    0.031,2,    9.293,2,  34.4342,2,    71.40,2,  -999.00,9,38.68,1,0.01,1,117.78,1,2.758,1,0.01,1,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
  49NZ20170529,  NONE,      MR17-03C,05/29/2017,06:35, 26.2545, 126.1680, 1972,   C01,  1,     10, X12110,2,   1312.9,2,   1300.2,2,   3.8783,2,   3.8789,2,  34.4424,2,  34.4439,2,   3.255308,2,   3.255489,2,    72.11,2,    72.19,2,   0.8841,2,   0.8647,2,   3.7772,2,   3.7779,2,  27.3654,2,  27.3665,2,   99.944,2,   0.0022,2,   4.7276,2,    0.050,2,    0.031,2,    9.516,2,  34.4417,2,    72.03,2,  -999.00,9,38.66,1,0,1,118.99,1,2.765,1,0,1,   -999.0,9,   -999.0,9,   -999.0,9,   -999.0,9,-999.0000,9,-999,9
