ID,UPDATE TIME,TCARBN,TCARBN_FLAG_W,TCARBN_1,TCARBN_1_FLAG_W
-,,UMOL/KG,-,UMOL/KG,-
A14,A12,F9.1,I1,F9.1,I1
MR1703C0100125,201709261500,   -999.0,9,   -999.0,9
MR1703C0100124,201709261500,   -999.0,9,   -999.0,9
MR1703C0100123,201709261500,   -999.0,9,   -999.0,9
MR1703C0100122,201709261500,   2147.0,1,   -999.0,9
MR1703C0100121,201709261500,   -999.0,9,   -999.0,9
MR1703C0100120,201709261500,   -999.0,9,   -999.0,9
MR1703C0100119,201709261500,   -999.0,9,   -999.0,9
MR1703C0100118,201709261500,   -999.0,9,   -999.0,9
MR1703C0100117,201709261500,   2258.8,1,   -999.0,9
MR1703C0100116,201709261500,   2304.9,1,   -999.0,9
MR1703C0100115,201709261500,   2318.5,1,   -999.0,9
MR1703C0100114,201709261500,   -999.0,9,   -999.0,9
MR1703C0100113,201709261500,   -999.0,9,   -999.0,9
MR1703C0100112,201709261500,   -999.0,9,   -999.0,9
MR1703C0100111,201709261500,   -999.0,9,   -999.0,9
MR1703C0100110,201709261500,   -999.0,9,   -999.0,9
MR1703C0100109,201709261500,   -999.0,9,   -999.0,9
MR1703C0100108,201709261500,   -999.0,9,   -999.0,9
MR1703C0100107,201709261500,   -999.0,9,   -999.0,9
MR1703C0100106,201709261500,   -999.0,9,   -999.0,9
MR1703C0100105,201709261500,   -999.0,9,   -999.0,9
MR1703C0100104,201709261500,   -999.0,9,   -999.0,9
MR1703C0100103,201709261500,   -999.0,9,   -999.0,9
MR1703C0100102,201709261500,   -999.0,9,   -999.0,9
MR1703C0100101,201709261500,   -999.0,9,   -999.0,9
MR1703C1000100,201709261500,   -999.0,9,   -999.0,9
MR1703C1000136,201709261500,   -999.0,9,   -999.0,9
MR1703C1000135,201709261500,   -999.0,9,   -999.0,9
MR1703C1000134,201709261500,   -999.0,9,   -999.0,9
MR1703C1000133,201709261500,   -999.0,9,   -999.0,9
MR1703C1000132,201709261500,   -999.0,9,   -999.0,9
MR1703C1000131,201709261500,   -999.0,9,   -999.0,9
MR1703C1000130,201709261500,   -999.0,9,   -999.0,9
MR1703C1000129,201709261500,   2289.0,1,   -999.0,9
MR1703C1000128,201709261500,   2322.8,1,   -999.0,9
MR1703C1000127,201709261500,   -999.0,9,   -999.0,9
MR1703C1000126,201709261500,   -999.0,9,   -999.0,9
MR1703C1000125,201709261500,   -999.0,9,   -999.0,9
MR1703C1000124,201709261500,   -999.0,9,   -999.0,9
MR1703C1000123,201709261500,   -999.0,9,   -999.0,9
MR1703C1000122,201709261500,   -999.0,9,   -999.0,9
MR1703C1000121,201709261500,   -999.0,9,   -999.0,9
MR1703C1000120,201709261500,   -999.0,9,   -999.0,9
MR1703C1000119,201709261500,   -999.0,9,   -999.0,9
MR1703C1000118,201709261500,   2330.8,1,   -999.0,9
MR1703C1000117,201709261500,   -999.0,9,   -999.0,9
MR1703C1000116,201709261500,   -999.0,9,   -999.0,9
MR1703C1000115,201709261500,   -999.0,9,   -999.0,9
MR1703C1000114,201709261500,   -999.0,9,   -999.0,9
MR1703C1000113,201709261500,   -999.0,9,   -999.0,9
MR1703C1000112,201709261500,   2332.2,1,   -999.0,9
MR1703C1000111,201709261500,   -999.0,9,   -999.0,9
MR1703C1000110,201709261500,   -999.0,9,   -999.0,9
MR1703C1000109,201709261500,   -999.0,9,   -999.0,9
MR1703C1000108,201709261500,   -999.0,9,   -999.0,9
MR1703C1000107,201709261500,   -999.0,9,   -999.0,9
MR1703C1000106,201709261500,   -999.0,9,   -999.0,9
MR1703C1000105,201709261500,   -999.0,9,   -999.0,9
MR1703C1000104,201709261500,   -999.0,9,   -999.0,9
MR1703C1000103,201709261500,   -999.0,9,   -999.0,9
MR1703C1000102,201709261500,   2339.0,1,   -999.0,9
MR1703C1000101,201709261500,   -999.0,9,   -999.0,9
